DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	co2_signal_strength_7500_mean	rssi_77_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TNR_C_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[K]	[K]	[K]	074
DATA	2026-06-09T233000_smart3-01508.ghg	2026-06-10	00:00:00	161	0	18000	18000	-0.0233868	1	NaN	NaN	1	NaN	-1377.04	1	NaN	-4.41808	1	NaN	-31.2937	1	NaN	-0.00497664	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.29054e-11	5.0149e-12	3.6864e-13	NaN	17.9718	441.595	453.714	0.1	0	1087.1	26.7118	27.4449	0.1	0	0.0799116	1.97762	2.0319	0	1	NaN	NaN	NaN	NaN	9	301.224	297.708	100732	1.16688	1020.53	0.0245716	-2.02783	0.0195896	2691.46	3076.35	0.016788	87.4887	384.891	295.454	-0.654074	-0.0101572	-0.04999	0.65606	-1.71372e-14	4.61309e-15	0.65606	3.23581	0.820462	180.89	-4.37002	NaN	0.14157	0.201256	NaN	0	NaN	0.0679224	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0233868	NaN	-11.4508	NaN	8.94462	NaN	9.40367	NaN	0.20327	NaN	-0.00552597	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	801100009	899999999	899999999	89999	89999	89	89	1	2	3	0	5	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	18000	18000	0	NaN	100	0.12674	0.243648	0.0321235	0.0440616	0.0589425	31.1299	1.75549e-7	NaN	-0.0096158	0.00940367	0.20327	-0.00000552597	NaN	297.173	101097	101.246	37.6237	0.20671	149.367	29.2279	12.2456	15	10.7864	12.0354	409.344	446.881	-0.0130934	0	92.2936	-40.7664	-22.226	-15.03	-5.51087	NaN	NaN	NaN	-4.07868	-0.84896	297.718	27.262	NaN	NaN	NaN	029
DATA	2026-06-10T000000_smart3-01508.ghg	2026-06-10	00:30:00	161.0208	0	18000	18000	-0.0150004	1	NaN	NaN	1	NaN	-1377.87	1	NaN	-4.72289	1	NaN	-31.3054	1	NaN	0.00420542	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.41105e-11	3.24843e-12	2.41686e-13	NaN	18.0471	443.162	455.275	0.1	0	1083.42	26.6045	27.3316	0	0	0.0806077	1.99264	2.0471	0	1	NaN	NaN	NaN	NaN	9	301.013	297.467	100715	1.16767	1020.46	0.0245559	-2.02859	0.0195233	2680.18	3032.24	0.0167199	88.3894	352.061	295.385	-0.75892	0.0276169	-0.0581258	0.761643	-9.87138e-15	2.9983e-15	0.761643	2.26831	1.50011	177.916	-4.37686	NaN	0.113342	0.117083	NaN	0	NaN	0.0850091	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0150004	NaN	-11.4808	NaN	3.99904	NaN	9.15309	NaN	0.0908585	NaN	0.00391399	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800100019	899999999	899999999	89999	89999	89	89	11	14	0	1	6	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	301	151	0	0	0	16	18000	18000	18000	0	NaN	100	0.101853	0.104909	0.0274047	0.0495837	0.0435518	15.2807	3.28219e-8	NaN	-0.00963511	0.00915309	0.0908585	0.00000391399	NaN	296.933	101075	101.25	37.3006	-0.0193533	141.7	28.919	12.2741	15	10.7858	12.0607	400.94	441.116	-0.0125369	0	93.041	-43.6221	-23.032	-15.8051	-6.11826	NaN	NaN	NaN	-3.44985	-0.00391532	297.511	24.7454	NaN	NaN	NaN	240
DATA	2026-06-10T003000_smart3-01508.ghg	2026-06-10	01:00:00	161.0416	0	18000	18000	-0.0212215	1	NaN	NaN	1	NaN	-1369.4	1	NaN	-4.01243	1	NaN	-31.1064	1	NaN	0.00478628	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.68922e-11	-1.00314e-12	-7.5255e-14	NaN	18.1271	444.881	456.954	0.2	0	1076.48	26.4193	27.1363	0.2	0	0.0807569	1.99426	2.04838	0.2	0	NaN	NaN	NaN	NaN	9	300.813	297.25	100697	1.1684	1020.35	0.0245423	-2.01569	0.0193982	2661.06	2993.03	0.0166023	88.9088	331.962	295.268	-0.546735	0.365134	-0.0569373	0.659912	4.6155e-14	-9.31871e-16	0.659912	2.6722	25.2334	146.263	-4.94964	NaN	0.13477	0.209349	NaN	0	NaN	0.0834172	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0212215	NaN	-13.4026	NaN	3.93717	NaN	9.82882	NaN	0.0894339	NaN	0.00449707	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800100009	899999999	899999999	89999	89999	89	89	14	7	6	0	13	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	18000	18000	0	NaN	100	0.181187	0.190945	0.0465655	0.026856	0.0328911	4.10622	1.78542e-8	NaN	-0.0112421	0.00982882	0.0894339	0.00000449707	NaN	296.713	101054	101.241	36.2245	-0.492194	129.067	28.6016	12.276	15	10.7842	12.0632	397.995	438.582	-0.0119645	0	93.7837	-44.123	-23.6837	-16.4507	-6.78622	NaN	NaN	NaN	-2.4013	1.135	297.274	23.5161	NaN	NaN	NaN	167
DATA	2026-06-10T010000_smart3-01508.ghg	2026-06-10	01:30:00	161.0624	0	18000	18000	-0.0430957	1	NaN	NaN	1	NaN	-1383.43	1	NaN	-4.52059	1	NaN	-31.4297	1	NaN	0.008868	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.83785e-10	1.11947e-11	8.25832e-13	NaN	17.8457	438.365	450.391	0.1	0	1087.02	26.7017	27.4342	0.1	0	0.0801894	1.98185	2.03622	0.2	0	NaN	NaN	NaN	NaN	9	301.064	297.402	100659	1.16724	1020.52	0.0245641	-2.03665	0.0195881	2688.49	3020.37	0.0167816	89.0118	331.883	295.436	-0.627012	1.15553	-0.104342	1.31882	2.21043e-14	1.02985e-14	1.31882	3.68666	61.86	118.485	-4.53784	NaN	0.192149	0.257976	NaN	0	NaN	0.083766	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0430957	NaN	-19.1728	NaN	3.99605	NaN	9.25969	NaN	0.0907849	NaN	0.00855199	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	20	13	1	4	8	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	18000	18000	0	NaN	100	0.290542	0.156644	0.0687657	0.0329235	0.0138908	16.4177	4.55864e-8	NaN	-0.0160955	0.00925969	0.0907849	0.00000855199	NaN	296.87	101004	101.209	33.4333	-0.754537	155.967	28.4	12.2759	15	10.7837	12.0626	398.683	439.498	-0.0124653	0	93.4909	-44.2684	-24.2307	-16.9973	-7.44917	NaN	NaN	NaN	-1.97943	1.47312	297.487	23.5998	NaN	NaN	NaN	141
DATA	2026-06-10T013000_smart3-01508.ghg	2026-06-10	02:00:00	161.0833	0	18000	18000	-0.0576047	1	NaN	NaN	1	NaN	-1397.51	1	NaN	-5.23661	1	NaN	-31.7555	1	NaN	0.00921696	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.13367e-10	1.32119e-11	9.59208e-13	NaN	17.7999	437.799	449.998	0.1	0	1102.19	27.1091	27.8644	0.1	0	0.0800205	1.97978	2.03494	0	1	NaN	NaN	NaN	NaN	9	301.267	297.595	100595	1.16556	1020.76	0.0245957	-2.05776	0.0198614	2727.77	3055.52	0.0170403	89.2735	327.749	295.675	-0.757819	1.3301	-0.14045	1.53726	-2.36138e-14	1.1987e-14	1.53726	4.51292	60.4247	119.672	-5.24205	NaN	0.222311	0.307705	NaN	0	NaN	0.0682179	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0576047	NaN	-18.0433	NaN	10.2132	NaN	8.66855	NaN	0.232074	NaN	0.00849372	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	10	5	2	2	2	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	21	18000	18000	18000	0	NaN	100	0.319297	0.207269	0.0888431	0.0200615	0.00657486	29.046	2.11795e-8	NaN	-0.0151656	0.00866855	0.232074	0.00000849372	NaN	297.052	100943	101.171	31.5889	-0.596964	152.1	28.3768	12.2759	15	10.7815	12.0623	398.387	440.651	-0.013205	0	93.5932	-45.7429	-25.1872	-17.637	-8.06332	NaN	NaN	NaN	-2.19239	1.28686	297.693	23.8933	NaN	NaN	NaN	119
DATA	2026-06-10T020000_smart3-01508.ghg	2026-06-10	02:30:00	161.1041	0	18000	18000	-0.0596696	1	NaN	NaN	1	NaN	-1427.95	1	NaN	-2.72358	1	NaN	-32.453	1	NaN	0.0109726	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.21425e-11	3.31709e-12	2.35631e-13	NaN	17.635	434.163	446.495	0.1	0	1121.87	27.6197	28.4042	0.1	0	0.0796923	1.97375	2.02981	0.2	0	NaN	NaN	NaN	NaN	9	301.411	297.781	100561	1.16421	1021.05	0.0246194	-2.10296	0.0202161	2778.22	3089.76	0.0173647	89.9168	311.548	295.977	-0.680591	1.37373	-0.11313	1.53725	3.73406e-14	2.95676e-15	1.53725	4.3176	64.6014	116.355	-4.22034	NaN	0.226392	0.355642	NaN	0	NaN	0.0840319	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0596696	NaN	-22.6144	NaN	5.87208	NaN	11.369	NaN	0.133455	NaN	0.0105235	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	6	6	2	0	0	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	18000	18000	0	NaN	100	0.336892	0.270138	0.104253	0.0293368	0.012627	18.1495	4.78659e-8	NaN	-0.0190242	0.011369	0.133455	0.0000105235	NaN	297.253	100920	101.124	31.0296	-0.559473	158.767	28.4354	12.2758	15	10.7807	12.062	398.114	441.796	-0.0139996	0	94.1575	-47.298	-24.428	-18.0186	-8.6698	NaN	NaN	NaN	-2.34117	1.27521	297.906	24.0932	NaN	NaN	NaN	188
DATA	2026-06-10T023000_smart3-01508.ghg	2026-06-10	03:00:00	161.1249	0	18000	18000	-0.0597363	2	NaN	NaN	2	NaN	-1429.1	2	NaN	-5.46941	2	NaN	-32.4803	2	NaN	0.00779083	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.14136e-11	-2.61077e-12	-1.87043e-13	NaN	17.7993	438.349	450.807	0.1	0	1122.1	27.6342	28.4195	0.1	0	0.0803902	1.99136	2.04795	0.2	0	NaN	NaN	NaN	NaN	9	301.356	297.814	100540	1.16383	1021.06	0.0246273	-2.10472	0.0202202	2779.09	3095.86	0.0173738	89.7678	316.776	295.982	-0.963858	1.57278	-0.167948	1.85226	2.29421e-15	-2.32669e-15	1.85226	4.63281	58.2726	121.501	-5.20225	NaN	0.226555	0.48198	NaN	0	NaN	0.06946	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0597363	NaN	-18.7004	NaN	5.29584	NaN	8.77097	NaN	0.120362	NaN	0.00739645	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	12	4	1	11	12	14	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	18000	18000	0	NaN	100	0.501555	0.322087	0.140318	0.0166918	0.0100577	3.14704	4.50317e-8	NaN	-0.0157365	0.00877097	0.120362	0.00000739645	NaN	297.214	100897	101.115	29.1505	-0.403376	133.6	28.5268	12.2759	15	10.778	12.0629	398.224	442.054	-0.0143894	0	94.3748	-47.3241	-24.4719	-18.032	-9.19048	NaN	NaN	NaN	-2.49722	0.996373	297.88	24.1939	NaN	NaN	NaN	170
DATA	2026-06-10T030000_smart3-01508.ghg	2026-06-10	03:30:00	161.1458	0	18000	18000	-0.0595283	1	NaN	NaN	1	NaN	-1443.9	1	NaN	-6.51197	1	NaN	-32.8177	1	NaN	0.00549878	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.98747e-12	-2.51459e-13	-1.78851e-14	NaN	17.9305	441.625	454.277	0.1	0	1130.73	27.8498	28.6477	0.1	0	0.0804238	1.99271	2.04979	0	1	NaN	NaN	NaN	NaN	9	301.428	297.852	100542	1.16361	1021.19	0.0246299	-2.12659	0.0203758	2800.83	3102.81	0.0175109	90.2676	301.979	296.11	-0.83528	1.31179	-0.136415	1.56112	-8.49272e-15	-2.22385e-16	1.56112	4.19327	57.0685	122.487	-5.01306	NaN	0.226182	0.342531	NaN	0	NaN	0.0618623	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0595283	NaN	-16.6264	NaN	1.82318	NaN	7.9839	NaN	0.0414382	NaN	0.00534574	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000019	899999999	899999999	89999	89999	89	89	19	5	1	2	3	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	21	18000	18000	18000	0	NaN	100	0.337527	0.242503	0.105032	0.020317	0.0085002	6.08769	5.07942e-8	NaN	-0.0139921	0.0079839	0.0414382	0.00000534574	NaN	297.261	100902	101.085	27.3701	-0.432915	132.633	28.5602	12.2759	15	10.778	12.0613	398.693	442.302	-0.0145755	0	94.8323	-47.1901	-23.7019	-18.1187	-9.61138	NaN	NaN	NaN	-2.51021	1.07136	297.917	24.2098	NaN	NaN	NaN	001
DATA	2026-06-10T033000_smart3-01508.ghg	2026-06-10	04:00:00	161.1666	0	18000	18000	-0.0211405	1	NaN	NaN	1	NaN	-1462.15	1	NaN	-7.37466	1	NaN	-33.2321	1	NaN	0.0048534	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.7879e-11	4.33278e-12	3.04264e-13	NaN	17.8828	440.483	453.226	0.1	0	1141.48	28.1165	28.9299	0.1	0	0.0801588	1.98626	2.04372	0	1	NaN	NaN	NaN	NaN	9	301.489	297.838	100530	1.16341	1021.34	0.0246317	-2.15344	0.0205694	2827.31	3100.28	0.0176803	91.1955	272.965	296.266	-0.283372	1.13563	-0.0812712	1.17327	-6.02449e-14	3.79577e-15	1.17327	3.27943	76.1458	104.011	-3.97201	NaN	0.134801	0.23096	NaN	0	NaN	0.0767925	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0211405	NaN	-12.3003	NaN	-2.06037	NaN	7.2663	NaN	-0.0468287	NaN	0.00496005	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	6	8	0	0	4	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	18000	18000	0	NaN	100	0.18348	0.22536	0.05308	0.0188597	0.0108597	10.4722	3.51725e-8	NaN	-0.0103517	0.0072663	-0.0468287	0.00000496005	NaN	297.275	100890	101.032	27.758	-0.409332	122.067	28.5802	12.2758	15	10.7772	12.0613	398.024	442.069	-0.0146356	0	95.6501	-47.6931	-22.0141	-17.7489	-9.9594	NaN	NaN	NaN	-2.59627	1.05136	297.924	24.1617	NaN	NaN	NaN	120
DATA	2026-06-10T040000_smart3-01508.ghg	2026-06-10	04:30:00	161.1874	0	18000	18000	-0.0185708	2	NaN	NaN	1	NaN	-1461.7	1	NaN	-7.73509	1	NaN	-33.2191	1	NaN	0.00562217	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.19399e-10	-7.54345e-12	-5.33136e-13	NaN	18.0557	444.542	457.388	0.1	0	1140.73	28.0855	28.8971	0.2	0	0.0806213	1.9969	2.0546	0.1	0	NaN	NaN	NaN	NaN	9	301.378	297.75	100546	1.16394	1021.32	0.0246206	-2.15259	0.0205559	2824.63	3084.07	0.0176606	91.5877	259.441	296.25	-0.144348	1.02848	-0.0554253	1.04004	-3.50886e-15	-6.61284e-15	1.04004	3.06987	82.9796	97.9893	-3.05484	NaN	0.126313	0.177075	NaN	0	NaN	0.0724221	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0185708	NaN	-10.8747	NaN	-2.68367	NaN	7.03495	NaN	-0.0609901	NaN	0.00576595	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	11	4	1	3	4	14	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	18000	18000	18000	0	NaN	100	0.186703	0.129758	0.0376887	0.0199306	0.0193492	2.85064	2.65917e-8	NaN	-0.00914788	0.00703495	-0.0609901	0.00000576595	NaN	297.187	100904	101.005	27.2776	-0.33632	120.433	28.5828	12.2759	15	10.7757	12.0601	398.326	441.377	-0.014143	0	96.2375	-46.5094	-20.5521	-16.9901	-10.1624	NaN	NaN	NaN	-2.60127	0.856689	297.799	24.0661	NaN	NaN	NaN	217
DATA	2026-06-10T043000_smart3-01508.ghg	2026-06-10	05:00:00	161.2083	0	18000	18000	-0.0191007	1	NaN	NaN	1	NaN	-1463.6	1	NaN	-2.2763	1	NaN	-33.2613	1	NaN	0.00755201	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.85902e-11	2.41622e-12	1.71247e-13	NaN	18.2068	448.179	461.119	0.2	0	1139.97	28.0615	28.8717	0	1	0.0807941	2.00086	2.05863	0	1	NaN	NaN	NaN	NaN	9	301.382	297.718	100553	1.16417	1021.31	0.0246161	-2.15533	0.0205422	2822.43	3078.04	0.0176454	91.6959	255.603	296.237	-0.163643	0.8564	-0.038815	0.872758	-5.8353e-17	2.11955e-15	0.872758	2.51216	78.4143	100.818	-2.54901	NaN	0.12809	0.111098	NaN	0	NaN	0.0929144	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0191007	NaN	-14.1505	NaN	-5.57085	NaN	12.6335	NaN	-0.126601	NaN	0.00787565	NaN	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	17	3	3	4	2	29	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	21	18000	18000	18000	0	NaN	100	0.116086	0.073994	0.0321159	0.0246683	0.0288511	3.31666	3.45249e-8	NaN	-0.0119014	0.0126335	-0.126601	0.00000787565	NaN	297.183	100910	100.994	27.8205	-0.413191	130.967	28.5443	12.2759	15	10.7747	12.0616	398.397	441.065	-0.0142205	0	96.2523	-46.1566	-20.1924	-16.4637	-10.2173	NaN	NaN	NaN	-2.47983	1.00808	297.79	23.993	NaN	NaN	NaN	107
